Element,Definition,FPDS Data Dictionary Element,Grouping,Domain Values,Domain Values Code Description
GrossOutlaysDeliveredOrdersPaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending.Read Less",,Account Breakdown,,
GrossOutlaysUndeliveredOrdersPrepaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending.Read Less",,Account Breakdown,,
GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending.Read Less",,Account Breakdown,,
HighCompOfficer1Amount,"The cash and noncash dollar value earned by the one of the five most highly compensated “Executives” during the awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.Read Less",,Award Recipient,,
HighCompOfficer1FullName,"The name of an individual identified as one of the five most highly compensated ""Executives."" ""Executive"" means officers, managing partners, or any other employees in management positions.",,Award Recipient,,
HighCompOfficer2Amount,"The cash and noncash dollar value earned by the one of the five most highly compensated “Executives” during the awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.Read Less",,Award Recipient,,
HighCompOfficer2FullName,"The name of an individual identified as one of the five most highly compensated ""Executives."" ""Executive"" means officers, managing partners, or any other employees in management positions.",,Award Recipient,,
HighCompOfficer3Amount,"The cash and noncash dollar value earned by the one of the five most highly compensated “Executives” during the awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.Read Less",,Award Recipient,,
HighCompOfficer3FullName,"The name of an individual identified as one of the five most highly compensated ""Executives."" ""Executive"" means officers, managing partners, or any other employees in management positions.",,Award Recipient,,
HighCompOfficer4Amount,"The cash and noncash dollar value earned by the one of the five most highly compensated “Executives” during the awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.Read Less",,Award Recipient,,
HighCompOfficer4FullName,"The name of an individual identified as one of the five most highly compensated ""Executives."" ""Executive"" means officers, managing partners, or any other employees in management positions.",,Award Recipient,,
HighCompOfficer5Amount,"The cash and noncash dollar value earned by the one of the five most highly compensated “Executives” during the awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.Read Less",,Award Recipient,,
HighCompOfficer5FullName,"The name of an individual identified as one of the five most highly compensated ""Executives."" ""Executive"" means officers, managing partners, or any other employees in management positions.",,Award Recipient,,
HispanicAmericanOwnedBusiness,"List characteristic of the contractor such as whether the selected contractor is a Hispanic American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",Hispanic American Owned Business,Award Recipient,F = False T = True,
HispanicServicingInstitution,https://www.sam.gov,Hispanic Servicing Institution,Award Recipient,F = False T = True,
HistoricallyBlackCollegeOrUniversity,"List characteristic of the contractor such as whether the selected contractor is a Historically Black College or University or not. It can be derived from the SAM data element, 'Business Types'.",Historically Black College or University,Award Recipient,F = False T = True,
HistoricallyUnderutilizedBusinessZoneHUBZoneFirm,"List characteristic of the contractor such as whether the selected contractor is a Historically Underutilized Business Zone (HUBZone) Firm or not. It can be derived from the SAM data element, 'Business Types'.Read Less",Historically Underutilized Business Zone (HUBZone) Firm,Award Recipient,F = False T = True,
HospitalFlag,"List characteristic of the contractor such as whether the selected contractor is a Hospital or not. It can be derived from the SAM data element, 'Business Types'",Hospital Flag,Award Recipient,Y= Hospital Flag N= Other than Hospital Flag,
HousingAuthoritiesPublic/Tribal,https://www.sam.gov,Housing Authorities Public/Tribal,Award Recipient,F = False T = True,
IDV_Type,"The type of Indefinite Delivery Vehicle being (IDV) loaded by this transaction. IDV Types include Government-Wide Acquisition Contract (GWAC), Multi-Agency Contract, Other Indefinite Delivery Contract (IDC), Federal Supply Schedule (FSS), Basic Ordering Agreement (BOA), and Blanket Purchase Agreements (BPA).Read Less",IDV Type,Award Attribute,A = GWAC B = IDC C = FSS D = BOA E = BPA,"A = Enter this code for the initial load of an IDV that is a Government-Wide Agency Contract (GWAC) approved by OMB. B = Enter this code for the initial load of an IDV that is an Indefinite Delivery Contract (IDC) for use by a single agency or for use by multiple agencies but is not a GWAC (may also be a ""Multi-Agency Contract""). C = Enter this code for the initial load of an IDV that is a GSA or VA Federal Supply Schedule (FSS). D = Enter this code for the initial load of an IDV that is a Basic Ordering Agreement (BOA). E = Enter this code for the initial load of an IDV that is a Blanket Purchase Agreement (BPA).Read Less"
IDV_Type Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the IDV_Type Field.,,Award Attribute,A = GWAC B = IDC C = FSS D = BOA E = BPA,"A = Enter this code for the initial load of an IDV that is a Government-Wide Agency Contract (GWAC) approved by OMB. B = Enter this code for the initial load of an IDV that is an Indefinite Delivery Contract (IDC) for use by a single agency or for use by multiple agencies but is not a GWAC (may also be a ""Multi-Agency Contract""). C = Enter this code for the initial load of an IDV that is a GSA or VA Federal Supply Schedule (FSS). D = Enter this code for the initial load of an IDV that is a Basic Ordering Agreement (BOA). E = Enter this code for the initial load of an IDV that is a Blanket Purchase Agreement (BPA).Read Less"
IndianTribeFederallyRecognized,https://www.sam.gov,Indian Tribe (Federally Recognized),Award Recipient,F = False T = True,
IndirectCostFederalShareAmount,"The total amount of any single Federal award action that is allocated, per the award recipient’s approved award budget, to indirect costs.",,Award Spending,,
Information Technology Commercial Item Category Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Information Technology Commercial Item Category Field.,,Award Attribute,A = COMMERCIALLY AVAILABLE B = OTHER COMMERCIAL ITEM C = NON-DEVELOPMENTAL ITEM D = NON-COMMERCIAL ITEM E = COMMERCIAL SERVICE F = NON-COMMERCIAL SERVICE Z = NOT IT PRODUCTS OR SERVICES,"A = Report this code if the item meets the definition of commercial item in FAR 2.101, does not require any modifications, and is available in the commercial B = Report this code if the item meets the definition of commercial item in FAR 2.101, but requires minor modifications, or is not yet available in the commercial marketplace, but will be in time to meet our needs. C = Report this code if the item meets the definition of a non-developmental item in FAR 2.101 ((1) any previously developed item of supply used exclusively for governmental Federal agency, purposes by a state or local government, or foreign government with which the United States has a mutual defense cooperation agreement, (2) is used as a paragraph (1) but requires only minor modifications or modifications of a type customarily available in the commercial market). D = Report this code if the item does not meet the definitions of commercial item or non-developmental item in FAR 2.101. E = Report this code if the item meets the definitions of commercial service in FAR 2.101 (services of a type offered and sold competitively in substantial quantities in the commercial marketplace based on established catalog or market prices for specific service performed). F = Report this code for all other services. Z = N/ARead Less"
